Имя-детектор,Вводимое имя
александр,александр
александра,александра
алексей,алексей
алена,алена
алёна,алёна
алиса,алиса
алеся,алеся
елизавета,елизавета
анатолий,анатолий
ангелина,ангелина
матвей,матвей
matvey,матвей
matthew,матвей
анна,анна
алла,алла
антон,антон
эмма,эмма
таня,татьяна
emma,эмма
liudmila,людмила
анжела,анжела
алишер,алишер
alisher,алишер
арина,арина
артемий,артемий
артём,артём
владлен,владлен
владлена,владлена
скрудж,скрудж
марта,марта
ильнара,ильнара
элизабетта,элизабетта
антонина,антонина
руслана,руслана
нина,нина
ева,ева
грета,грета
майя,майя
лев,лев
земфира,земфира
ибрагим,ибрагим
глеб,глеб
богдан,богдан
гульнара,гульнара
сулейман,сулейман
марго,марго
марья,марья
илларион,илларион
ростислав,ростислав
арсений,арсений
элеонора,элеонора
наиль,наиль
всеволод,всеволод
ильнар,ильнар
яков,яков
жанетта,жанетта
леха,алексей
лёха,алексей
tatiana,татьяна
настя,анастасия
оля,ольга
элвис,элвис
альберт,альберт
виолетта,виолетта
alexander,александр
alexandra,александра
maria,мария
венера,венера
лиза,елизавета
ильдар,ильдар
сергей,сергей
сережа,сергей
серёжа,сергей
серега,сергей
серёга,сергей
света,светлана
светочка,светлана
динара,динара
тихон,тихон
альбина,альбина
элла,элла
ренат,ренат
варвара,варвара
варя,варвара
гульназ,гульназ
сюзанна,сюзанна
пётр,пётр
филипп,филипп
джульетта,джульетта
ромео,ромео
мадина,мадина
зоя,зоя
аркадий,аркадий
степан,степан
семен,семен
захар,захар
милена,милена
нелли,нелли
елисей,елисей
рамиль,рамиль
тигран,тигран
эльза,эльза
магомед,магомед
кира,кира
клара,клара
лиана,лиана
арнольд,арнольд
влад,влад
семён,семён
заур,заур
борис,борис
валентин,валентин
валентина,валентина
валерий,валерий
валерия,валерия
василий,василий
вася,василий
василиса,василиса
вероника,вероника
виктор,виктор
виктория,виктория
вика,виктория
владимир,владимир
вадим,вадим
зинаида,зинаида
эльвира,эльвира
владислав,владислав
владислава,владислава
вячеслав,вячеслав
галина,галина
галя,галина
геннадий,геннадий
гена,геннадий
георгий,георгий
гоша,георгий
станислав,станислав
карина,карина
даниил,даниил
даня,даниил
дарья,дарья
денис,денис
дмитрий,дмитрий
дима,дмитрий
евгений,евгений
евгения,евгения
